price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,latitude,longitude,purpose,price_per_sqft
1150000,Average,Apartment,0,1,"The Sterling East, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-02,82271,THE STERLING EAST HOUSE,2023,259,27,502,6,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,2290.836653386454
2475000,Medium,Apartment,1,2,"LIV Lux, Dubai Marina, Dubai",Unfurnished,Off-Plan,2023-11-15,0,LIV LUX,0,279,49,696,5,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,3556.0344827586205
1450000,Medium,Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai",Unfurnished,Ready,2024-02-26,150834,OCEAN HEIGHTS,2010,0,75,810,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,1790.1234567901236
2400000,Medium,Apartment,1,2,"The Sterling West, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-28,183689,THE STERLING WEST HOUSE,2023,0,26,571,0,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,4203.1523642732045
2750000,Medium,Apartment,1,1,"Lamtara Building 3, Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai",Furnished,Ready,2024-01-22,135475,Madinat Jumeirah Living Lamtara 3,2021,138,9,298,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,9228.187919463087
1800000,Medium,Apartment,1,1,"Orchid, Dubai Creek Harbour, Dubai",Furnished,Off-Plan,2024-02-29,0,Orchid at Creek Beach Building 2,0,245,11,157,2,Dubai Creek Harbour,Dubai,UAE,25.197978,55.36037960558315,For Sale,11464.968152866242
3350000,High,Apartment,3,3,"Lime Gardens, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2024-03-06,0,Lime Gardens,0,357,25,643,5,Dubai Hills Estate,Dubai,UAE,25.12689085,55.263874387067744,For Sale,5209.9533437014
1530000,Medium,Apartment,1,2,"Hills Park, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2024-03-06,0,Hills Park,0,497,22,834,6,Dubai Hills Estate,Dubai,UAE,25.12689085,55.263874387067744,For Sale,1834.5323741007194
11000000,High,Apartment,4,4,"Palace Beach Residence Tower 2, Palace Beach Residence, Emaar Beachfront, Dubai Harbour, Dubai",Unfurnished,Off-Plan,2023-10-04,0,Palace Beach Residence Tower 2,0,694,45,786,7,Dubai Harbour,Dubai,UAE,25.0956188,55.13800090659106,For Sale,13994.910941475828
3290000,High,Apartment,1,1,"Building 2, Bluewaters Bay, Bluewaters Island, Dubai",Unfurnished,Off-Plan,2024-02-20,0,Bluewaters Bay - Building 2,0,397,44,837,7,Bluewaters Island,Dubai,UAE,25.082916,55.122156,For Sale,3930.704898446834
1350000,Average,Apartment,1,1,"Hills Park, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2024-04-04,0,Hills Park,0,497,22,834,6,Dubai Hills Estate,Dubai,UAE,25.12689085,55.263874387067744,For Sale,1618.705035971223
4500000,High,Apartment,2,3,"Exquisite Living Residences, Downtown Dubai, Dubai",Furnished,Off-Plan,2024-01-12,0,EXQUISITE LIVING RESIDENCES,0,342,61,892,5,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,5044.8430493273545
1900000,Medium,Apartment,1,1,"Castleton, Central Park, City Walk, Al Wasl, Dubai",Unfurnished,Off-Plan,2023-12-26,0,Castleton,0,271,23,552,5,Al Wasl,Dubai,UAE,25.1959326,55.2557371,For Sale,3442.0289855072465
650000,Average,Apartment,0,1,"Seslia Tower, JVT District 4, Jumeirah Village Triangle (JVT), Dubai",Unfurnished,Off-Plan,2023-12-18,0,SESLIA TOWER,0,467,42,557,7,Jumeirah Village Triangle (JVT),Dubai,UAE,25.045564,55.187287,For Sale,1166.9658886894076
2000000,Medium,Apartment,1,1,"Greenside Residence Tower A, Greenside Residence, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2024-01-15,0,Greenside Residence - Tower A,0,561,22,615,5,Dubai Hills Estate,Dubai,UAE,25.12689085,55.263874387067744,For Sale,3252.032520325203
2400000,Medium,Apartment,1,1,"Lamaa Building 3, Lamaa, Madinat Jumeirah Living, Umm Suqeim, Dubai",Unfurnished,Off-Plan,2024-03-21,0,Lamaa 3,0,94,11,171,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,14035.087719298246
6100000,High,Apartment,2,3,"Beachgate by Address, Emaar Beachfront, Dubai Harbour, Dubai",Unfurnished,Off-Plan,2024-03-19,0,Beachgate by Address,0,392,46,932,7,Dubai Harbour,Dubai,UAE,25.0956188,55.13800090659106,For Sale,6545.064377682404
2250000,Medium,Apartment,1,1,"Fern, Central Park, City Walk, Al Wasl, Dubai",Unfurnished,Off-Plan,2024-03-15,0,Fern,0,271,23,557,5,Al Wasl,Dubai,UAE,25.1959326,55.2557371,For Sale,4039.4973070017954
2857000,Medium,Apartment,2,2,"Upper House West, Upper House, Jumeirah Lake Towers (JLT), Dubai",Unfurnished,Off-Plan,2024-02-26,0,UPPER HOUSE WEST,0,415,37,843,7,Jumeirah Lake Towers (JLT),Dubai,UAE,25.0690625,55.141165591907736,For Sale,3389.0865954922892
757000,Average,Apartment,0,1,"Lucky 2 Residence, Jumeirah Village Circle (JVC), Dubai",Unfurnished,Off-Plan,2024-01-27,0,LUCKY 2 RESIDENCE,0,168,16,262,3,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,2889.312977099237
1150000,Average,Apartment,1,2,"Azizi Riviera 45, Azizi Riviera, Meydan One, Meydan City, Dubai",Unfurnished,Off-Plan,2024-03-01,0,Azizi Riviera 45,2022,185,11,251,4,Meydan City,Dubai,UAE,25.1541673,55.2906695,For Sale,4581.673306772908
1200000,Average,Apartment,1,2,"Azizi Riviera 45, Azizi Riviera, Meydan One, Meydan City, Dubai",Unfurnished,Off-Plan,2024-03-01,0,Azizi Riviera 45,2022,185,11,251,4,Meydan City,Dubai,UAE,25.1541673,55.2906695,For Sale,4780.876494023904
2100000,Medium,Apartment,1,1,"Al Jazi Building 2, Al Jazi, Madinat Jumeirah Living, Umm Suqeim, Dubai",Unfurnished,Off-Plan,2024-01-18,0,Al Jazi 2,0,136,11,261,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,8045.977011494253
1470000,Medium,Apartment,1,1,"Hills Park, Dubai Hills Estate, Dubai",Unfurnished,Off-Plan,2023-12-23,0,Hills Park,0,497,22,834,6,Dubai Hills Estate,Dubai,UAE,25.12689085,55.263874387067744,For Sale,1762.589928057554
1300000,Average,Apartment,1,1,"The Paragon by IGO, Business Bay, Dubai",Unfurnished,Off-Plan,2024-01-30,0,The Paragon by IGO,0,408,28,642,8,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,2024.9221183800623
1200000,Average,Apartment,0,1,"Chic Tower, Business Bay, Dubai",Unfurnished,Off-Plan,2024-03-12,0,CHIC TOWER,0,470,40,835,8,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,1437.125748502994
3300000,High,Apartment,2,3,"Al Jazi Building 2, Al Jazi, Madinat Jumeirah Living, Umm Suqeim, Dubai",Unfurnished,Off-Plan,2024-03-11,0,Al Jazi 2,0,136,11,261,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,12643.67816091954
